title,price,property_type,location,publication_date,link,city
Appartement en rdc,1700.0,Appartement,Cite Ennasr 2,18/01/2025,DetailsAnnonceImmobilier.asp?cod_ann=3376286,Cite Ennasr 2
Étage de villa s3 au bar,260000.0,Appartement,Le Bardo,18/01/2025,DetailsAnnonceImmobilier.asp?cod_ann=3376285,Le Bardo
Appartement s2 à jardin,1250.0,Appartement,Jardins d'el Me,18/01/2025,DetailsAnnonceImmobilier.asp?cod_ann=3376281,Jardins d'el Me
Appartement s1 à 20 mars,165000.0,Appartement,Le Bardo,18/01/2025,DetailsAnnonceImmobilier.asp?cod_ann=3376279,Le Bardo
Rez de chaussé meublé,700.0,Autre,Cite El Kornich,18/01/2025,DetailsAnnonceImmobilier.asp?cod_ann=3376278,Cite El Kornich
Maison à démolir prés l',800000.0,Maison,Sousse,18/01/2025,DetailsAnnonceImmobilier.asp?cod_ann=3312475,Sousse
Loc commercial à médina,180000.0,Autre,Nouvelle Medina,18/01/2025,DetailsAnnonceImmobilier.asp?cod_ann=3376274,Nouvelle Medina
Terrain sur la route elghiran,750000.0,Terrain,Bizerte,18/01/2025,DetailsAnnonceImmobilier.asp?cod_ann=3367441,Bizerte
Local commercial à la no,190000.0,Autre,Nouvelle Medina,18/01/2025,DetailsAnnonceImmobilier.asp?cod_ann=3376268,Nouvelle Medina
Appartement tgm,185000.0,Appartement,Republique,18/01/2025,DetailsAnnonceImmobilier.asp?cod_ann=3376267,Republique
Local commercial à médin,3000.0,Autre,Nouvelle Medina,18/01/2025,DetailsAnnonceImmobilier.asp?cod_ann=3376266,Nouvelle Medina
Appartement a loyer dans,370.0,Appartement,Cite El Mansour,18/01/2025,DetailsAnnonceImmobilier.asp?cod_ann=3376261,Cite El Mansour
Bureau à ben arous,1700.0,Autre,Ben Arous,18/01/2025,DetailsAnnonceImmobilier.asp?cod_ann=3376260,Ben Arous
S plus 2 ain zaghouane,1100.0,Autre,Ain Zaghouan,18/01/2025,DetailsAnnonceImmobilier.asp?cod_ann=3376259,Ain Zaghouan
anne universitaires,850.0,Autre,Cite Universita,18/01/2025,DetailsAnnonceImmobilier.asp?cod_ann=3376257,Cite Universita
Maison 150 m2,370000.0,Maison,El Ksibi,18/01/2025,DetailsAnnonceImmobilier.asp?cod_ann=3376256,El Ksibi
Appartement à sidi fatha,700.0,Appartement,Ben Arous,18/01/2025,DetailsAnnonceImmobilier.asp?cod_ann=3376254,Ben Arous
Terrain commercial,700000.0,Terrain,Mornaguia,18/01/2025,DetailsAnnonceImmobilier.asp?cod_ann=3376250,Mornaguia
Av maisona manouba,520000.0,Maison,La Mannouba,18/01/2025,DetailsAnnonceImmobilier.asp?cod_ann=3376248,La Mannouba
Local commercial,3000.0,Autre,Ben Arous,18/01/2025,DetailsAnnonceImmobilier.asp?cod_ann=3376247,Ben Arous
Meilleur investissement a ezz,1155000.0,Autre,Ezzahra,18/01/2025,DetailsAnnonceImmobilier.asp?cod_ann=3376246,Ezzahra
Villa à ben arous,670000.0,Villa,Ben Arous,18/01/2025,DetailsAnnonceImmobilier.asp?cod_ann=3376244,Ben Arous
S plus 2 a cite el wahat,1350.0,Autre,El Aouina,18/01/2025,DetailsAnnonceImmobilier.asp?cod_ann=3376243,El Aouina
Terrain collectif pour i,90000.0,Terrain,Kelibia,18/01/2025,DetailsAnnonceImmobilier.asp?cod_ann=3376241,Kelibia
annuelle dun tage de vi,1000.0,Autre,Cite Afh,18/01/2025,DetailsAnnonceImmobilier.asp?cod_ann=3376235,Cite Afh
Appart s2 aré aux be,4200.0,Appartement,Berge Du Lac,18/01/2025,DetailsAnnonceImmobilier.asp?cod_ann=3376228,Berge Du Lac
Terrain 567m2 borj cedria,335000.0,Terrain,Borj Cedria,18/01/2025,DetailsAnnonceImmobilier.asp?cod_ann=3304748,Borj Cedria
Offre de terrain agricol,1375000.0,Terrain,Kalaa El Kebira,18/01/2025,DetailsAnnonceImmobilier.asp?cod_ann=3237294,Kalaa El Kebira
Appartement 1er étage,500.0,Appartement,Bizerte,18/01/2025,DetailsAnnonceImmobilier.asp?cod_ann=3346525,Bizerte
2 appartements juxtaposées,550.0,Appartement,Cite Bougatfa 2,18/01/2025,DetailsAnnonceImmobilier.asp?cod_ann=3342532,Cite Bougatfa 2
Appartement indépendant,500.0,Appartement,Cite Bougatfa 2,18/01/2025,DetailsAnnonceImmobilier.asp?cod_ann=3352410,Cite Bougatfa 2
Etage appartement,700.0,Appartement,Cite Ennouzha,18/01/2025,DetailsAnnonceImmobilier.asp?cod_ann=3376213,Cite Ennouzha
Terrain 830 mètre carré a ham,1411000.0,Terrain,Hammam El Gheza,18/01/2025,DetailsAnnonceImmobilier.asp?cod_ann=3376211,Hammam El Gheza
Appartement usage bureau,1500.0,Appartement,Cite El Khadra,18/01/2025,DetailsAnnonceImmobilier.asp?cod_ann=3376209,Cite El Khadra
Belle occasion ferme,350000.0,Autre,Boucha,18/01/2025,DetailsAnnonceImmobilier.asp?cod_ann=3367852,Boucha
Terrain de villa azu,280000.0,Villa,Mornag,18/01/2025,DetailsAnnonceImmobilier.asp?cod_ann=3376208,Mornag
S2 meublé vue sur la,1800.0,Appartement,Berge Du Lac,18/01/2025,DetailsAnnonceImmobilier.asp?cod_ann=3376205,Berge Du Lac
Lot 397m pas loin l écol,277900.0,Autre,Cite Boukhzar,18/01/2025,DetailsAnnonceImmobilier.asp?cod_ann=3149502,Cite Boukhzar
Terrain 382m a boumhal bel ai,600000.0,Terrain,Bou Mhel,18/01/2025,DetailsAnnonceImmobilier.asp?cod_ann=3360569,Bou Mhel
